	Supplementary table 2_4: GO results of N-RNA (GO groups shown in Figure 2.2)						
	3.7E-02	179	1479	1.27	GO:0051174 regulation of phosphorus metabolic process	http://amigo.geneontology.org/amigo/term/GO:0051174	DBNDD1,PPP1R12A,FGF22,EPHA8,FGFR1,NOS1,IRAK3,TYRO3,TGFB2,TREM2,TCL1A,PPP1R16B,VAC14,FGF21,MET,PPP6R3,CBL,IL23A,FGF6,SASH1,TEK,INHBA,BMP4,SH2D3A,ATG14,NGF,PKIB,GH2,FGF2,PIK3R5,CBLC,KIT,FGFR4,TGFA,CCNYL1,LMTK2,CLCF1,BDNF,IFNE,INPP5J,ROR1,HEXIM1,SPRY4,NTF4,DBNDD2,HIF1A,LGALS3,ALS2,LTF,CD44,TNK2,UBE2K,SIRT1,EP300,ANGPT4,SFRP1,DVL1,BMPR1A,BST1,CALCA,CAPRIN2,IL12B,PRLR,RAD50,ARHGEF2,MAD2L2,LEPR,EDN3,APOE,APOC1,NLRC5,CARD14,BRD4,ADRA2A,IL18,HHEX,UCHL1,PROM2,RBPMS,BRAF,CDA,ADAR,FBP1,NKX3-1,MAP4K2,SOCS5,SYNPO2,PTPN2,NRXN1,SOCS4,PTPRT,MAP3K5,ENPP1,FNIP1,ADRA2B,GUCA1A,PIK3CB,SPHK2,PRKCZ,ROCK1,TRPC5,TLR8,EHD4,SLC9A3R1,SH2B3,PTPN6,ACVR2B,SLC8A2,SOCS2,RAP2C,SDC4,HSPA2,EIF2AK4,SWAP70,PTPN22,NIBAN1,ABI1,TLR4,LHCGR,IQGAP1,ADAM8,RANBP2,PPARGC1B,CD109,GHRL,SQSTM1,FZD5,ZC3H12A,SPINK1,SYK,RGS14,PTAFR,PDZD3,SFN,YES1,CD19,LACC1,HCLS1,CHEK2,IRS2,ALKAL1,PLCG2,SPDYC,CALCR,FPR2,PPP2R5A,FERMT2,ITGA6,GSKIP,MMP9,SH3GL2,ADTRP,PKD2,CLU,KRAS,PARP9,TNFRSF11A,MFHAS1,BANK1,CLDN3,NSD1,PIP4K2C,PIP5KL1,AR,NUPR1,ZBTB7A,PTPN11,ACTB,CEACAM1,CHRNA3,CREBL2,GPLD1,TNFRSF10A,TLR3,TBK1,PKMYT1,HERC5,ACMSD,CEBPA
	4.1E-02	489	4576	1.13	GO:0048869 cellular developmental process	http://amigo.geneontology.org/amigo/term/GO:0048869	RRBP1,MYBBP1A,RRAS2,HSD17B4,CLTC,IARS1,DLX6,ETV1,USH1C,ARHGAP44,PROM1,ETV7,ANOS1,PRDM1,LAMC2,NCKAP1,TNK2,DLX3,PSME4,FGF22,EPHA8,WDR1,ACTN1,ACTB,WDR62,TPD52,FGFR1,RPGRIP1,MYL9,HCK,PPP1R16B,PPP1R13L,TJP3,FGF21,LSR,DLX5,MET,GALNTL5,LHX6,DLX4,IL23A,FGF6,MYL2,FRK,UNC5A,ARHGEF2,MEF2D,SGK1,TJP2,TNN,SOHLH2,BHLHE41,PACSIN1,NKX2-4,OVOL2,NR1D1,VIL1,SOX15,CRACR2A,MAP1S,CDX4,UNK,LGR6,PTPN22,NGF,ELF5,DYSF,KIAA0319,SEMA6D,FGF2,PARVG,ETV6,MINK1,TNFRSF11A,ASTN2,TBX6,MKX,THRB,FLI1,BEND6,HHEX,KIT,ETS2,F11R,KIAA1522,FLVCR1,TDRD5,ELF3,LMTK2,HNF4G,SYK,NDEL1,NKX3-1,FOXI1,RHOH,SEMA4C,SEMA3E,KRT8,EMB,FOXA3,KRT15,CEBPB,PDE3A,RARG,NR1D2,ETV4,YES1,FOXC2,BDNF,MAF,TDRD6,SYNE4,SOX2,FES,NEB,TACSTD2,IFNE,ROR1,RXRA,NRN1L,TMEM120B,CATSPER4,SEMA4A,MYO6,SIGLEC15,MAFG,ENPP1,TOX,MAFB,GPRIN2,FOXB2,CEBPD,NTF4,TMEFF1,CEBPA,ETV3L,MYMX,NR2E3,MTA3,HIF1A,ADGRV1,PIK3CD,NRXN1,FLNA,ALS2,LTF,GRN,VCL,FERMT2,TESC,TGFB2,TREM2,UPK3A,EP300,SFRP1,SERPINE1,CALCA,GLI1,PTPN6,IL12B,EFEMP1,SMYD1,RAB29,CR2,CLU,INHBA,ACVR1C,BMP4,ZFP36,APOE,PRICKLE1,ASXL2,TCF7L2,GHRL,CCDC78,FRZB,IFI16,PF4,ZC3H12A,WASHC2C,RIMS2,GAK,L3MBTL1,SHTN1,ALKAL1,ITSN2,SYT3,ADRA2B,CD38,CALCR,ITGA3,EHD2,PRKCH,SH2D2A,HMGB3,HEXB,MCOLN3,ATG5,SEZ6,KDM4A,PRKCZ,ROCK1,RORA,TRPC5,NMRK2,IL4R,CARMIL1,ATP8B1,FAT1,NME8,GMCL1,SLC4A11,MAPKAPK5,TYRO3,SIRT1,NFKBIA,MMP9,PABPC1L,MOSPD1,EMD,KLF5,MEDAG,FA2H,RELB,KLC3,RSPH6A,AURKC,CNFN,CACNG7,HAMP,SCN1B,PTPRZ1,WASL,DVL1,BMPR1A,RND2,SLC9A3R1,DDX25,HTATIP2,POU2AF1,CAPRIN2,TRPV4,SH2B3,CREBL2,RHAG,ZBTB24,PRPH2,CERT1,PRLR,DPYSL3,ACVR2B,TFCP2L1,FHL2,LEPR,MPL,ARTN,IRF6,ZNF541,ALDH6A1,GPR68,TGFBI,PLS1,SOCS2,NLN,ATF1,SDC4,EDN3,GPR18,TNFSF14,TGM3,MMP24,BECN1,HSPA2,SPINK2,ELL3,CHAC1,E2F8,ZBTB46,C1QL1,RAMP2,PIAS3,LGALS3,ITGB4,TESMIN,LGALS12,KRAS,TSPAN2,IL15RA,DOCK2,WDR36,MYCBPAP,ABI1,TLR4,IRF4,PAQR5,PAK6,KIF20B,BRCA2,CUL4A,UNC45B,ZNF750,VAV1,DNMT3L,TRPM2,SYPL2,PTPRG,NFKBIZ,SPATA5,METTL14,TNFRSF21,KDM6A,DIAPH2,ANKRD1,IL18,NOCT,SCLT1,ADAM8,SAV1,RBM46,GRID2,HOMER1,BOLL,ZFP36L2,IGSF10,CDYL,CABYR,CERS3,UCHL1,MMP21,PPARGC1B,CD109,BRAF,M1AP,ANKLE1,ZBTB7B,ADAR,IER2,SQSTM1,IKZF3,LEMD2,ZNF281,PKDCC,FZD5,HIPK1,PRKCI,HESX1,TCF23,KLF15,SPINK1,TERT,CITED2,DACT2,OSR2,STRBP,CLDN3,SPINT1,WEE1,CLEC4D,STAT6,ANKRD33,ATCAY,FEM1B,AR,RGS14,NR0B1,CLIC4,ALCAM,GTSF1,CAVIN4,SOCS5,LPAR3,ENC1,LRRC34,HPSE,CCDC63,NOC3L,C1QA,WFIKKN2,AGFG1,TDRD12,NRROS,ATP2A2,PTPN2,CLCF1,PRM1,SFN,NUPR1,PLAAT3,MEX3C,BOK,CD19,GPR4,ZBTB7A,PTPN11,ALOX15B,ALX1,MEIOC,HCLS1,TMEM64,DHTKD1,ADGRB1,USH1G,GRIN2A,PIWIL3,INPP5J,PRKG1,POU3F1,NAP1L2,CYP26C1,P2RX2,KRTDAP,HMX3,HMX2,GJB5,XRCC2,ZNF431,MAP3K5,SIPA1L1,MYH6,PLCG2,MBP,SYCP1,LRIG2,LGR4,CEMP1,FNIP1,NFAM1,TNFSF12,STRC,CCDC169-SOHLH2,ITGA6,DHRS2,SALL1,ANXA7,TPP1,AKR1C3,ANXA4,ICAM1,RAP2C,MME,ZFP64,CD44,MAPK9,GBA2,SULT2B1,PIEZO1,ASAH1,MYH14,CYP27B1,MAD2L2,CTH,TEK,PLAAT4,MYC,DTNB,TPM1,IQGAP1,PRUNE1,VASH2,MFHAS1,SUPV3L1,KBTBD8,SPRY4,S1PR3,CEACAM1,CHRNA3,SH3GL2,GPLD1,STRN,EIF2AK4,SIX3,SLC39A5,CREB3L1,SENP2,STX3,KMT2D,FPR2,SPRED3,TOPORS,TUNAR,MT1G,NLGN4X,TLR3,NOS1,PYY,KLK5,CHRM1,NTM,PLA2G2A
	4.1E-02	70	489	1.48	GO:0006874 cellular calcium ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0006874	CALCR,TBXA2R,ATP2C1,TRPC5,SLC8B1,CALCA,TRPV4,SLC8A2,PKD2,EDN3,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,TRPM2,FATE1,CACNA1B,ATP13A2,CD52,FPR2,ADRA1D,ATP2A2,GPR4,NPSR1,FPR3,AKAP5,FLNA,RYR2,GLP1R,FGF2,XCL1,CXCL11,CD19,GRIN2A,CD55,PLCG2,TUNAR,CD38,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,PTPN6,APOE,SWAP70,LHCGR,METTL21C,SYPL2,ATP1B1,MCOLN2,JPH3,GHRL,SV2A,SPINK1,GRIK2,CACNB2,SLC30A1,BOK,TMEM64,DIAPH1,CACNA2D1,P2RX2,NOS1,JPH1,LPAR3,S1PR3
	4.1E-02	40	246	1.70	GO:0007596 blood coagulation	http://amigo.geneontology.org/amigo/term/GO:0007596	VCL,ACTB,MYL9,TLN1,FLNA,TYRO3,VWF,PLAU,PROZ,F12,TREML1,SYK,SERPINE1,F11,APOE,EMILIN2,F11R,PF4,KLKB1,HPSE,TBXA2R,PIK3CB,ENTPD2,DGKA,PROCR,SH2B3,PTPN6,MPL,TLR4,SERPING1,ADRA2A,ADRA2B,ADTRP,STXBP3,PRKG1,CEACAM1,ENTPD1,VAV1,JMJD1C,PLCG2
	4.1E-02	203	1777	1.24	GO:0048585 negative regulation of response to stimulus	http://amigo.geneontology.org/amigo/term/GO:0048585	ARHGAP44,TLE2,RORA,MAPKAPK5,IRAK3,RFFL,GRK3,EMD,SFRP1,SERPINE1,CBL,GRB14,FHL2,CR2,CAAP1,PLAU,LGALS3,PTPN22,TMBIM1,UACA,SEMA6D,DUSP5,NLRC5,CBLC,SUSD4,CRHBP,SLC25A4,BEND6,BANK1,GHRL,LEMD2,FRZB,OTUD4,DACT2,SEMA4C,SEMA3E,PDE3A,WFIKKN2,RMI2,DAND5,SHISA2,SPRY4,SPRED3,SEMA4A,CD55,CR1L,LEPROT,BRMS1L,APOE,XCL1,LTF,CD44,GRN,WWC3,POLQ,ATG5,JADE1,PIAS2,CEACAM1,RIF1,F11,ICAM1,SIRT1,HIF1A,RNF125,XIAP,MET,SLC9A3R1,CALCA,GLI1,CCNC,MAD2L2,NMI,BMP4,OVOL2,KLK14,F12,FGF2,PRICKLE1,NLGN4X,IGSF1,SERPING1,WWC2,UCHL1,CD109,CREB3L1,IFI16,PF4,KLKB1,FBP1,PSCA,RHOH,AR,NR0B1,FPR2,SOCS5,PDZD3,PTPN2,SOCS4,SOX2,PTPRT,TRIM33,ENPP1,GCLC,ITGA3,GCLM,PIK3CB,KIF26A,IL4R,THOC1,TYRO3,TREM2,NFKBIA,ACP5,PPP2CB,HAMP,DVL1,RGS9,SH2B3,PTPN6,TRIM38,IL12B,CTH,HELLS,TNN,SOCS2,GPR18,NR1D1,ZFP36,ELL3,TLR4,KIAA0319,IRF4,MFHAS1,ADRA2A,GRID2,ZBTB7B,ADAR,DHRS3,RNF149,ZC3H12A,NPY5R,SPINK1,ARHGAP42,STAT6,NKX3-1,RGS14,NRROS,NR1D2,NLRP6,BOK,PAWR,ZBTB7A,NRXN1,TMEM64,CHEK2,YTHDF3,LITAF,STRN3,APCDD1L,LRIG2,LGR4,PLIN5,FNIP1,PRKCZ,IFI35,ITGA6,MMP9,ADTRP,CLU,CHAC1,C5AR2,BRD4,TCF7L2,TERT,CLDN3,ARHGAP12,PIP4K2C,SERPINB9,PRKG1,NCOR2,ILRUN,CD2AP,SIGLEC10,ABCA7,TGFB2,ARHGEF2,SPX,MYC,BICD1,HHEX,HTRA4,BDNF,CYP26C1,UBE2D1,HCK,TEK,RHBDF2,IGFBP4,SYK,IGFBP6,YES1,WWP2
	4.1E-02	38	285	1.73	GO:0031348 negative regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031348	RORA,NLRC5,SUSD4,GHRL,APOE,GRN,ATG5,RNF125,SERPING1,IFI16,FPR2,IRAK3,TYRO3,TREM2,ACP5,HAMP,TRIM38,IL12B,NMI,NR1D1,ZFP36,ADAR,NPY5R,SOCS5,NR1D2,NLRP6,PTPN2,YTHDF3,CEACAM1,MFHAS1,SERPINB9,ILRUN,SIGLEC10,HCK,TEK,RHBDF2,SYK,YES1
	4.1E-02	57	448	1.54	GO:0050900 leukocyte migration	http://amigo.geneontology.org/amigo/term/GO:0050900	ITGA3,ITGA6,MADCAM1,CXCL6,LGALS3,XCL1,ADAM8,JAML,TAFA4,CXCL3,PF4,RHOH,CXCL11,S100A14,ROCK1,BST1,CALCA,EDN3,PLA2G7,MIA3,KIT,F11R,SYK,DPEP1,CNN2,WDR1,SLC8B1,ICAM1,TREM2,MMP9,IL23A,TRPV4,ARTN,GPR18,TNFSF14,SWAP70,PTPN22,CH25H,VAV1,TRPM2,MCOLN2,PTAFR,FPR2,ADD2,WASL,SERPINE1,ADTRP,GOLPH3,ADGRE2,C5AR2,CD177,TGFB2,TNFRSF11A,HCK,SFTPD,PIK3CD,YES1
	4.1E-02	152	1218	1.29	GO:0034220 ion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0034220	SLC7A2,ATP2C1,SLC9A7,TRPC5,ATP12A,CHRNA3,SLC8B1,TRPM7,KCNK6,CACNG7,ATP4A,HAMP,SCN1B,CHRNE,ASIC2,TRPV4,RHAG,KCNC4,CHRNB4,SLC8A2,PKD2,TRPM6,KCNS1,KCNK17,SLC25A19,CRACR2A,DPP6,KCNC3,ANO3,TMEM165,TRPC6,SLC39A5,SLC13A5,STAC2,TRPM2,CACNG8,ATP1B1,CACNA1B,SLC25A4,KCNE4,SLC13A3,SLC1A7,GABRG1,SLMAP,SLC7A3,SLC39A2,CACNB2,SCNN1G,KCNAB1,SLC30A1,KCNS3,KCNG3,ATP2A2,KCNE3,SLC25A18,OTOP2,KCND2,ANO9,SLC36A2,NPSR1,GABRD,SLC25A29,WWP2,CNGA1,SHISA8,AKAP5,SLC25A21,GRIN2A,ATP6V0A2,FLNA,RYR2,VMP1,GNB5,SLC4A11,TESC,MMP9,HVCN1,FGF2,XCL1,SLC16A12,LRRC38,NETO1,CXCL11,CD19,PLCG2,CYBA,MCOLN3,ATG5,SPHK2,TMEM38A,TREM2,PIEZO1,NIPAL2,SLC9A3R1,SLC15A3,PTPN6,SLC22A2,SLC4A9,SLC19A2,SLC35A3,EDN3,HSPA2,PTPN22,SLC19A3,LHCGR,SLC15A4,METTL21C,TMC6,SLC22A3,STOM,GRIK4,GRID2,HOMER1,MCOLN2,CACNA2D1,SLC5A10,JPH3,KCNMA1,COX6A2,CACNA2D3,SLC34A2,PKD1L1,ATP13A2,SLC15A2,GRIK2,CYB5A,PKD1L2,MFSD3,SLC33A1,PTAFR,CLIC4,EMB,TMEM37,ZDHHC13,SLC38A9,TCN2,P2RX2,CATSPER4,CLDN4,SLC34A3,CALCR,CLTRN,DIAPH1,COX17,NOS1,MINK1,CRHBP,ADRA2A,NRXN1,CAPN1,ATP8B1,JPH1
	4.1E-02	191	1602	1.25	GO:0016477 cell migration	http://amigo.geneontology.org/amigo/term/GO:0016477	ITGA3,WWC3,PIK3CB,NCKAP1,FGF22,CARMIL1,ITGA6,TYRO3,MADCAM1,FGF21,MET,RND2,FGF6,TEK,RAP2C,SDC4,CXCL6,LGALS3,ITGB4,LGALS12,DOCK2,KIAA0319,SEMA6D,FGF2,VAV1,XCL1,SH3KBP1,ASTN2,ADAM8,WWC2,KIT,CARMIL2,JAML,TAFA4,CXCL3,PF4,NDEL1,RHOH,SEMA4C,CXCL11,SEMA3E,PIK3CD,RHOD,CLEC14A,S100A14,SEMA4A,PLCG2,CD2AP,BRMS1L,CD44,ROCK1,FGFR1,CEACAM1,FAT2,TGFB2,SIRT1,ANGPT4,SFRP1,SERPINE1,BST1,CALCA,GLI1,SASH1,IL12B,TNN,PLAU,ACVR1C,EDN3,BMP4,VIL1,APOE,EMILIN2,LGR6,NARS1,FGFBP1,ANXA3,PLA2G7,MIA3,F11R,ZC3H12A,SYK,IGFBP6,CLIC4,SYNPO2,PODN,ADGRB1,PRKG1,SHTN1,FLNA,RASGEF1A,DPEP1,VCL,HEXB,LIMA1,CNN2,PRKCZ,EPHA8,WDR1,WDR62,SLC8B1,ICAM1,TREM2,HIF1A,MMP9,CBLL1,PDLIM1,SLC9A3R1,IL23A,TRPV4,DPYSL3,ARTN,GPR18,TNFSF14,OVOL2,AKAP12,DIAPH1,UNK,SWAP70,RRAS2,PTPN22,TLR4,CH25H,KIF20B,IQGAP1,TRPM2,IGSF10,MCOLN2,BRAF,HTR6,MYSM1,PRKCI,TERT,PTAFR,FOXC2,PTPN11,ALX1,TACSTD2,IRS2,LRIG2,TBXA2R,FPR2,JUP,GRN,LAMC2,FERMT2,ADD2,CEACAM6,TRIP6,ZMYND8,HAS1,WASL,BMPR1A,BIN2,ADTRP,GPLD1,GOLPH3,AGO2,STAT5A,ADGRE2,STRIP2,C5AR2,LCP1,TPM1,ITGAX,MINK1,PTPRG,ADRA2A,FGFR4,S100A11,CITED2,CLDN3,PIP5KL1,FUT1,YTHDF3,CLDN4,PTPRT,CD177,SMIM22,FAT1,RFFL,LHX6,ARHGEF2,SIX3,TNFRSF11A,HCK,SGK1,SFTPD,PARP9,YES1,ALOX15B,TNFSF12
	4.1E-02	193	1729	1.25	GO:0007155 cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0007155	VCL,ACTB,MYL9,TLN1,FLNA,ITGA3,CD44,DSG2,PVR,FERMT2,FAT1,CEACAM6,FAT2,NID2,ICAM1,ITGA6,TYRO3,PCDH11Y,MADCAM1,PCDH11X,TJP3,SIGLEC6,CBLL1,VWF,IL23A,PERP,PCDHB7,CYTIP,TJP2,TNN,TGFBI,PLAU,CDHR3,FIBCD1,ITGB4,PTPN22,CLDN10,PARVG,ITGAX,SIGLEC10,ITGA10,LPP,TNFRSF21,NLGN4X,ASTN2,CDH22,ADAM8,PCDH1,ITGAD,CLDN14,JAML,FBLIM1,SYK,CLDN3,VWA2,ALCAM,EMB,HPSE,VSIG10,CLDN22,FES,IZUMO1R,PKP3,CLDN6,CEACAM19,CLDN4,CD177,STRC,CLDN23,IL12B,EMILIN2,NRXN1,PPP1R12A,ROCK1,CEACAM1,COL16A1,CD209,TGFB2,SERPINE1,BST1,CALCA,ZP4,TNFSF14,XCL1,IL18,MIA3,F11R,WASHC2C,JUP,GPR4,PTPRT,CD55,MBP,C2CD4B,ANOS1,PIK3CB,LAMC2,VMP1,PRKCZ,TESK2,EPHA8,IL4R,CARMIL1,MYBPC2,TRIP6,TRPM7,SCN1B,SPAM1,PDLIM1,KRT18,SH2B3,PTPN6,PRPH2,PRLR,ADAM23,MPL,SDC4,MMP24,ADGRE2,SWAP70,TROAP,VAV1,COL6A2,ATP1B1,NFKBIZ,HAPLN1,GRID2,KIT,BRAF,MPZL3,ZBTB7B,S100A11,ZC3H12A,CITED2,DACT2,COL4A3,PTAFR,SEMA3E,SOCS5,CEBPB,COL6A5,FUT1,PTPN2,FOXC2,SPACA4,PAWR,PTPN11,SOX2,NTM,TACSTD2,THBS2,COL14A1,IL1RAP,CD2AP,ATP2C1,ACTN1,ADD2,TESC,PIEZO1,TRPV4,ADTRP,GOLPH3,STXBP3,MAD2L2,TEK,BMP4,MINK1,RSU1,STX3,RHOH,RHOD,PRKG1,SPRY4,SFRP1,LGALS3,TPM1,FUT2,ENTPD1,PKD1L1,ADGRV1,MUC16,SIPA1,PNN,HCK,EBI3,HAS1,THEMIS2,SFTPD,ICOSLG,FPR2,ATP2A2,YES1,ADGRB1
	4.1E-02	53	341	1.57	GO:0070588 calcium ion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0070588	ATP2C1,TRPC5,SLC8B1,TRPV4,SLC8A2,PKD2,CRACR2A,TMEM165,TRPC6,STAC2,TRPM2,CACNA1B,CACNB2,ATP2A2,NPSR1,AKAP5,FLNA,RYR2,VMP1,GNB5,FGF2,XCL1,CXCL11,CD19,GRIN2A,PLCG2,CYBA,MCOLN3,ATG5,TMEM38A,TRPM7,CACNG7,PTPN6,TRPM6,HSPA2,PTPN22,LHCGR,METTL21C,CACNG8,ATP1B1,MCOLN2,CACNA2D1,JPH3,CACNA2D3,PKD1L1,PKD1L2,TMEM37,CATSPER4,CALCR,DIAPH1,ADRA2A,NOS1,JPH1
	4.3E-02	63	450	1.50	GO:0030099 myeloid cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030099	TNFRSF11A,FLVCR1,SIGLEC15,MAFB,CEBPA,HIF1A,CEBPB,FLNA,TESC,CALCA,IL23A,IL12B,INHBA,BMP4,ZFP36,IFI16,PF4,L3MBTL1,CALCR,HMGB3,WDR1,TREM2,SIRT1,EP300,NFKBIA,SFRP1,RELB,SH2B3,PTPN6,RHAG,MPL,GPR68,ZBTB46,PIAS3,TSPAN2,ABI1,IRF4,CUL4A,FLI1,PPARGC1B,CD109,KIT,ADAR,CITED2,RARG,NRROS,PTPN2,ZBTB7A,PTPN11,HCLS1,TMEM64,DHRS2,ACTN1,MYC,MFHAS1,FES,LTF,CEACAM1,MT1G,TLR4,TLR3,MMP9,PIK3CD
	4.3E-02	72	508	1.46	GO:0055074 calcium ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0055074	CALCR,TBXA2R,ATP2C1,TRPC5,SLC8B1,CALCA,TRPV4,SLC8A2,PKD2,EDN3,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,TRPM2,FATE1,CACNA1B,ATP13A2,CD52,FPR2,ADRA1D,ATP2A2,GPR4,NPSR1,FPR3,AKAP5,FLNA,RYR2,GLP1R,FGF2,XCL1,CXCL11,CD19,GRIN2A,CD55,PLCG2,TUNAR,CD38,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,PTPN6,APOE,SWAP70,LHCGR,METTL21C,SYPL2,ATP1B1,MCOLN2,JPH3,GHRL,SV2A,SPINK1,GRIK2,CACNB2,SLC30A1,BOK,TMEM64,CYP27B1,DIAPH1,CACNA2D1,P2RX2,S100A14,NOS1,JPH1,LPAR3,S1PR3
	4.3E-02	127	977	1.32	GO:0030334 regulation of cell migration	http://amigo.geneontology.org/amigo/term/GO:0030334	FGF22,MADCAM1,FGF21,FGF6,TEK,RAP2C,SEMA6D,FGF2,XCL1,ADAM8,KIT,RHOH,SEMA4C,SEMA3E,S100A14,SEMA4A,PLCG2,BRMS1L,ROCK1,FGFR1,CEACAM1,CARMIL1,TGFB2,SIRT1,ANGPT4,SFRP1,SERPINE1,BST1,GLI1,SASH1,TNN,PLAU,ACVR1C,EDN3,BMP4,VIL1,APOE,LGALS3,EMILIN2,LGR6,FGFBP1,ANXA3,PLA2G7,MIA3,CARMIL2,ZC3H12A,CLIC4,SYNPO2,PODN,ADGRB1,PRKG1,SHTN1,FLNA,ITGA3,VCL,PIK3CB,CNN2,WDR62,SLC8B1,TREM2,HIF1A,CBLL1,SLC9A3R1,IL23A,TRPV4,DPYSL3,SDC4,GPR18,TNFSF14,AKAP12,DIAPH1,SWAP70,RRAS2,PTPN22,TLR4,KIF20B,IGSF10,BRAF,MYSM1,TERT,PTAFR,FOXC2,TACSTD2,IRS2,LRIG2,TBXA2R,MMP9,FPR2,PIK3CD,JUP,DPEP1,GRN,LAMC2,FERMT2,CEACAM6,TRIP6,ICAM1,ITGA6,ZMYND8,HAS1,MET,WASL,BMPR1A,ADTRP,GPLD1,AGO2,STAT5A,C5AR2,TPM1,ITGAX,MINK1,PTPRG,ADRA2A,S100A11,CITED2,CLDN3,PIP5KL1,RHOD,FUT1,YTHDF3,CLDN4,PTPRT,SMIM22,RFFL,ARHGEF2,SGK1,ALOX15B
	4.3E-02	178	1917	1.26	GO:0044419 biological process involved in interspecies interaction between organisms	http://amigo.geneontology.org/amigo/term/GO:0044419	LTF,TNK2,NOS1,HCK,TLR8,RELB,HAMP,TRIM14,FRK,TRIM38,IFIH1,CXCL6,IL37,APOBEC3F,PTPN22,OASL,TLR4,PARP9,HERC5,NLRC5,IFITM3,XCL1,SUSD4,GBP4,IFI16,CXCL3,PF4,SYK,CLEC4D,KLK5,CXCL11,NLRP6,YES1,APOBEC3B,SSC5D,FES,MX2,S100A14,APOBEC3D,APOBEC3C,IRAK3,TBK1,IFNE,UPF1,GRN,CYBA,ATG5,IFI35,THOC1,CHMP2B,ICAM1,CD209,EP300,HIF1A,EPPIN,RNF125,FCER2,IL23A,CYP27B1,IL12B,RAB29,IRF3,VIL1,ZFP36,GCH1,EMILIN2,SERINC3,SFTPD,POU2F3,CH25H,ANXA3,SLC15A4,BRD4,KLK3,LCN2,ANKRD1,SERPING1,IL18,FZD5,ZC3H12A,FPR2,H2BC4,HEXIM1,CD55,TBXA2R,HMGB3,PRDM1,PVR,IL4R,TYRO3,TREM2,COCH,NFKBIA,ACP5,WASL,TMEM33,UNC93B1,SLC15A3,POU2AF1,PTPN6,PRLR,STXBP3,ARHGEF2,CR2,VPS4B,CLU,LRAT,NMI,PTGER2,BECN1,CDHR3,VGF,EIF2AK4,APOE,AKAP12,LGALS3,SLC52A1,IRF4,ITGAX,TNFRSF11A,VAV1,SIGLEC10,IL22RA1,OCIAD2,MFHAS1,STOM,NOCT,ADAM8,BANK1,MCOLN2,TIMP4,F11R,ADAR,IKZF3,SLC15A2,DTX3L,OTUD4,TLR3,CLDN3,MAP4K2,MLKL,PTAFR,PIK3CD,CEBPB,C1QA,PTPN2,PLAAT3,LACC1,ADGRB1,CLDN6,YTHDF3,PLA2G2A,LITAF,IL1RAP,ILRUN,MAP3K5,PLCG2,CD177,LGR4,MRC1,PNLIPRP2,SERPINE1,UBE2K,CEACAM1,SASH1,AKAP1,RAB9A,NR1D1,RAB5A,KRT8,SERPINB9,TREML1,XIAP,CBL,F12,PTPN11,CLEC2A,WWP2
